Time,Throughput
1,0.0
2,6.3504
3,9.996960000000001
4,9.96777
5,9.972480000000001
6,9.967780000000001
7,9.96307
8,9.95837
9,9.96307
10,9.972480000000001
11,9.969470000000001
12,9.991299999999999
13,9.96778
14,9.94896
15,9.96307
16,9.958359999999999
17,9.96777
18,9.96778
19,9.96307
20,9.98435
21,9.96307
22,9.96777
23,9.96777
24,9.92544
25,9.995999999999999
26,9.96777
27,9.96307
28,9.9625
29,9.98189
30,9.972480000000001
31,9.967780000000001
32,9.95366
33,9.965150000000001
34,9.95366
35,9.972480000000001
36,9.95837
37,9.96643
38,9.96307
39,9.972480000000001
40,9.95366
41,9.97718
42,9.96935
43,9.98659
44,9.95837
45,9.96307
46,9.956900000000001
47,9.97719
48,9.95366
49,9.967780000000001
50,9.95366
51,9.95837
52,9.995519999999999
53,9.94896
54,9.972480000000001
55,9.967770000000002
56,9.96307
57,9.953669999999999
58,9.96778
59,9.967780000000001
60,9.97978
61,9.972480000000001
62,9.972480000000001
63,9.958359999999999
64,9.967780000000001
65,9.953669999999999
66,9.963080000000001
67,9.96307
68,9.972480000000001
69,9.951609999999999
70,10.0007
71,9.958359999999999
72,9.96777
73,9.96777
74,9.93956
75,9.972480000000001
76,9.96307
77,9.96307
78,9.97926
79,9.96778
80,9.97719
81,9.95837
82,9.97718
83,9.93956
84,9.972480000000001
85,9.96308
86,9.96778
87,9.97171
88,9.972480000000001
89,9.972480000000001
90,9.96307
91,9.952
92,9.963069999999998
93,9.967780000000001
94,9.967780000000001
95,9.958369999999999
96,9.97843
97,9.97719
98,9.96307
99,9.972480000000001
100,9.95097
101,9.967780000000001
102,9.96778
103,9.96307
104,10.01632
105,9.92544
106,9.97719
107,9.95837
108,9.94944
109,9.96777
110,9.97248
111,9.96778
112,9.95366
113,9.95367
114,9.9761
115,9.9866
116,9.94896
117,9.972480000000001
118,9.97718
119,9.953669999999999
120,9.94426
121,9.972480000000001
122,9.97718
123,9.96832
124,9.96778
125,9.97248
126,9.96777
127,9.95836
128,9.96778
129,9.96307
130,9.96307
131,9.97836
132,9.972480000000001
133,9.96307
134,9.972480000000001
135,9.96307
136,9.96307
137,9.96307
138,9.94896
139,9.967780000000001
140,9.984480000000001
141,9.958359999999999
142,9.96778
143,9.972480000000001
144,9.967780000000001
145,9.94425
146,9.97718
147,9.958369999999999
148,9.96777
149,9.99117
150,9.96307
151,9.95837
152,9.96777
153,9.96778
154,9.958369999999999
155,9.95837
156,9.96777
157,9.96179
158,9.991299999999999
159,9.953669999999999
160,9.97719
161,9.96308
162,9.96045
163,9.958369999999999
164,9.96778
165,9.95836
166,9.96777
167,9.972480000000001
168,9.967780000000001
169,9.95837
170,9.97718
171,9.96778
172,9.95366
173,9.96308
174,9.96307
175,9.98365
176,9.95366
177,9.97719
178,9.96307
179,9.963080000000001
180,9.95367
181,9.96777
182,9.96307
183,9.96778
184,9.97843
185,9.98189
186,9.96778
187,9.95366
188,9.97248
189,9.93955
190,9.98189
191,9.958359999999999
192,9.96999
193,9.98188
194,9.95837
195,9.967780000000001
196,9.96777
197,9.95587
198,9.96777
199,9.967780000000001
200,9.958369999999999
201,9.96877
202,9.98189
203,9.958369999999999
204,9.96307
205,9.97719
206,9.95366
207,9.958359999999999
208,9.967780000000001
209,9.958369999999999
210,9.977789999999999
211,9.972480000000001
212,9.96307
213,9.97719
214,9.95837
215,9.95366
216,9.972480000000001
217,9.95837
218,9.967780000000001
219,9.98493
220,9.96307
221,9.96777
222,9.96777
223,9.96307
224,9.96307
225,9.96307
226,9.95837
227,9.973220000000001
228,9.97718
229,9.96307
230,9.96777
231,9.967780000000001
232,9.9536
233,9.96777
234,9.96307
235,9.958359999999999
236,9.96852
237,9.96308
238,9.963069999999998
239,9.972480000000001
240,9.958369999999999
241,9.99014
242,9.967780000000001
243,9.95837
244,9.96167
245,9.96307
246,9.972480000000001
247,9.95837
248,9.96307
249,9.94896
250,9.96294
251,10.0007
252,9.95366
253,9.96307
254,9.972480000000001
255,9.96777
256,9.94896
257,9.97719
258,9.958369999999999
259,9.985949999999999
260,9.97718
261,9.958369999999999
262,9.96307
263,9.95837
264,9.95837
265,9.96307
266,9.972480000000001
267,9.962050000000001
268,9.97718
269,9.97719
270,9.96307
271,9.96307
272,9.958359999999999
273,9.967780000000001
274,9.963069999999998
275,9.967780000000001
276,9.985759999999999
277,9.95366
278,9.96778
279,9.967780000000001
280,9.95366
281,9.96308
282,9.972480000000001
283,9.96308
284,9.96307
285,9.97235
286,9.96308
287,9.97719
288,9.95837
289,9.967780000000001
290,9.96307
291,9.967780000000001
292,9.958359999999999
293,9.95366
294,9.978110000000001
295,9.98188
296,9.95366
297,9.972480000000001
298,9.958369999999999
299,9.95837
300,9.972480000000001
301,9.96307
302,9.96992
303,9.97718
304,9.95837
305,9.98189
306,9.96307
307,9.94896
308,9.972480000000001
309,9.96307
310,9.96307
311,9.983260000000001
312,9.95837
313,9.98189
314,9.953669999999999
315,9.97024
316,9.94896
317,9.972480000000001
318,9.972480000000001
319,9.95366
320,9.97341
321,9.972480000000001
