Time,Flow,Throughput
79,0,5.9929
79,1,0.264992
79,2,3.97488
79,3,0.176384
80,0,5.96938
80,1,0.263328
80,2,4.00781
80,3,0.177216
81,0,6.05405
81,1,0.267488
81,2,3.90432
81,3,0.173056
82,0,6.06816
82,1,0.300352
82,2,3.90902
82,3,0.17264
83,0,4.48762
83,1,0.261504
83,2,5.45194
83,3,0.2392
84,0,4.39354
84,1,0.194272
84,2,5.57894
84,3,0.246272
85,0,4.53466
85,1,0.200512
85,2,5.42842
85,3,0.240448
86,0,4.51584
86,1,0.19968
86,2,5.45194
86,3,0.240864
87,0,5.09443
87,1,0.224224
87,2,4.87728
87,3,0.299232
88,0,6.08227
88,1,0.269152
88,2,3.89021
88,3,0.171392
89,0,6.09168
89,1,0.269152
89,2,3.8808
89,3,0.171808
90,0,6.19046
90,1,0.273312
90,2,3.77261
90,3,0.166816
91,0,5.87363
91,1,0.356928
91,2,4.07837
91,3,0.178048
92,0,4.37942
92,1,0.193856
92,2,5.58365
92,3,0.246688
93,0,4.55818
93,1,0.201344
93,2,5.4096
93,3,0.239616
94,0,4.68048
94,1,0.206752
94,2,5.2873
94,3,0.234208
95,0,4.57229
95,1,0.202592
95,2,5.38608
95,3,0.237952
96,0,5.50368
96,1,0.242112
96,2,4.47475
96,3,0.299808
97,0,6.14813
97,1,0.272064
97,2,3.82906
97,3,0.169312
98,0,6.16694
98,1,0.27248
98,2,3.79613
98,3,0.168064
99,0,6.25162
99,1,0.276224
99,2,3.72086
99,3,0.16432
100,0,5.60918
100,1,0.331552
100,2,4.34179
100,3,0.190528
101,0,5.09914
101,1,0.225472
101,2,4.86864
101,3,0.215488
102,0,5.16029
102,1,0.228384
102,2,4.80749
102,3,0.212576
103,0,5.18381
103,1,0.229216
103,2,4.77926
103,3,0.210912
104,0,5.26848
104,1,0.230048
104,2,4.74784
104,3,0.30576
105,0,6.66557
105,1,0.296608
105,2,3.25987
105,3,0.14352
106,0,6.61853
106,1,0.292448
106,2,3.35866
106,3,0.148512
107,0,6.67027
107,1,0.294944
107,2,3.2881
107,3,0.1456
108,0,6.44966
108,1,0.346272
108,2,3.49978
108,3,0.151008
109,0,5.44723
109,1,0.240448
109,2,4.52054
109,3,0.20176
110,0,5.45194
110,1,0.240864
110,2,4.52054
110,3,0.19968
111,0,5.48957
111,1,0.242944
111,2,4.47821
111,3,0.198432
112,0,5.26848
112,1,0.242624
112,2,4.68518
112,3,0.206752
113,0,3.6409
113,1,0.197056
113,2,6.31277
113,3,0.27664
114,0,3.80554
114,1,0.167648
114,2,6.17056
114,3,0.369792
115,0,5.07562
115,1,0.223392
115,2,4.91098
115,3,0.217568
116,0,5.08502
116,1,0.225472
116,2,4.86394
116,3,0.215072
117,0,5.24966
117,1,0.231712
117,2,4.72282
117,3,0.209248
118,0,5.36726
118,1,0.23712
118,2,4.60992
118,3,0.20384
119,0,5.21674
119,1,0.265696
119,2,4.73693
119,3,0.207168
120,0,4.12541
120,1,0.195232
120,2,5.81885
120,3,0.258336
121,0,4.21008
121,1,0.185536
121,2,5.7624
121,3,0.254592
122,0,4.21008
122,1,0.185952
122,2,5.7671
122,3,0.254592
123,0,5.41901
123,1,0.2392
123,2,4.54931
123,3,0.28672
124,0,5.94586
124,1,0.262496
124,2,4.02192
124,3,0.178048
125,0,5.9929
125,1,0.264576
125,2,3.97958
125,3,0.175968
126,0,6.08227
126,1,0.269152
126,2,3.8855
126,3,0.172224
127,0,5.97878
127,1,0.278304
127,2,3.97958
127,3,0.175136
128,0,4.9392
128,1,0.256352
128,2,5.02858
128,3,0.221312
129,0,4.81219
129,1,0.213408
129,2,5.15088
129,3,0.227552
130,0,4.86864
130,1,0.215072
130,2,5.09443
130,3,0.225056
131,0,5.03798
131,1,0.221728
131,2,4.94038
131,3,0.317696
132,0,6.41626
132,1,0.283712
132,2,3.55622
132,3,0.155584
133,0,6.38333
133,1,0.282464
133,2,3.57974
133,3,0.158496
134,0,6.4633
134,1,0.285376
134,2,3.50918
134,3,0.155168
135,0,6.40214
135,1,0.28288
135,2,3.56093
135,3,0.157248
136,0,5.96467
136,1,0.295712
136,2,3.9984
136,3,0.176384
137,0,5.95056
137,1,0.263328
137,2,4.01251
137,3,0.177216
138,0,4.99094
138,1,0.297344
138,2,4.95802
138,3,0.217984
139,0,4.51114
139,1,0.19968
139,2,5.45664
139,3,0.240448
140,0,4.32298
140,1,0.190112
140,2,5.6615
140,3,0.330592
141,0,5.79062
141,1,0.256256
141,2,4.16774
141,3,0.191136
142,0,5.85178
142,1,0.258752
142,2,4.116
142,3,0.181792
143,0,5.93174
143,1,0.261664
143,2,4.04074
143,3,0.17888
144,0,6.00701
144,1,0.265408
144,2,3.96077
144,3,0.175552
145,0,5.56483
145,1,0.322464
145,2,4.37942
145,3,0.19136
