FlowId, Time, RTT, Cwnd, Throughput, Loss, GainCwnd, PacingRate, minRTT, bdp, LastBdp, mode, SlowStart, ssThresh 
1, 38, 0.26, 536, 4.704, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 38, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 3, 1, 33554432
1, 39, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 39, 0.32, 4, 0, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 40, 0.26, 4, 4.704, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 40, 0.32, 536, 14.112, 0, 4, 0, 0.32, 4, 0, 3, 1, 33554432
1, 41, 0.26, 536, 14.112, 0, 4, 0, 0.26, 4, 0, 3, 1, 33554432
3, 41, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 3, 1, 33554432
1, 42, 0.26, 804, 14.112, 0, 4, 0, 0.26, 536, 536, 3, 1, 33554432
3, 42, 0.32, 4, 0, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 43, 0.26, 4, 0, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 43, 0.32, 536, 14.112, 0, 4, 0, 0.32, 4, 0, 3, 1, 33554432
1, 44, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 44, 0.32, 4, 14.112, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 45, 0.26, 4, 9.408, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 45, 0.32, 536, 4.704, 1, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 46, 0.26, 536, 9.408, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 46, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 47, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 3, 1, 33554432
3, 47, 0.32, 4, 9.408, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 48, 0.26, 4, 0, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 48, 0.32, 536, 4.704, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 49, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 49, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 50, 0.26, 4, 9.408, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 50, 0.32, 4, 9.408, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 51, 0.26, 536, 9.408, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 51, 0.32, 536, 4.704, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 52, 0.26, 804, 18.816, 1, 4, 0, 0.26, 536, 536, 3, 1, 33554432
3, 52, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 53, 0.26, 4, 0, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 53, 0.321, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 3, 1, 33554432
1, 54, 0.26, 536, 14.112, 0, 4, 0, 0.26, 4, 0, 3, 1, 33554432
3, 54, 0.32, 4, 0, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 55, 0.26, 4, 14.112, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 55, 0.32, 536, 14.112, 0, 4, 0, 0.32, 4, 0, 3, 1, 33554432
1, 56, 0.26, 536, 4.704, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 56, 0.32, 4, 14.112, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 57, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 57, 0.32, 536, 4.704, 1, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 58, 0.26, 4, 4.704, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 58, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 59, 0.26, 536, 14.112, 0, 4, 0, 0.26, 4, 0, 3, 1, 33554432
3, 59, 0.32, 4, 9.408, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
