Time,Flow,Throughput
156,1,2.25978
157,0,2.16973
157,1,1.83526
158,0,4.03072
158,1,1.05139
159,0,3.93638
159,1,0.604608
160,0,3.0016
160,1,1.53939
161,0,2.65856
161,1,1.54368
162,0,2.87725
162,1,2.0025
163,0,2.50848
163,1,2.03251
164,0,2.49562
164,1,2.04966
165,0,2.49133
165,1,2.04966
166,0,2.20832
166,1,2.10541
167,0,2.3584
167,1,2.40128
168,0,2.41843
168,1,2.12685
169,0,2.47846
169,1,2.06253
170,0,2.51277
170,1,2.02822
171,0,2.51277
171,1,2.03251
172,0,2.51706
172,1,2.02394
173,0,2.51706
173,1,2.02394
174,0,1.00768
174,1,2.4999
175,0,1.2599
175,1,4.31802
176,0,1.77094
176,1,2.77434
177,0,1.77523
177,1,2.76576
178,0,1.83955
178,1,2.70144
179,0,1.91674
179,1,2.62854
180,0,2.01107
180,1,2.52992
181,0,2.43558
181,1,2.10112
182,0,2.87296
182,1,1.66803
183,0,2.67142
183,1,1.58227
184,0,2.83437
184,1,1.99392
185,0,2.50848
185,1,2.03251
186,0,2.46989
186,1,2.07539
187,0,2.48275
187,1,2.05824
188,0,2.18259
188,1,2.07968
189,0,2.35411
189,1,2.4656
190,0,2.44845
190,1,2.09254
191,0,2.50848
191,1,2.03251
192,0,2.5385
192,1,2.00678
193,0,2.54278
193,1,1.99821
194,0,2.53421
194,1,2.00678
195,0,2.5385
195,1,2.00678
196,0,0.741824
196,1,2.75718
197,0,1.10931
197,1,4.47667
198,0,1.37645
198,1,3.16109
199,0,2.01965
199,1,2.52134
200,0,1.98534
200,1,2.55565
201,0,2.04966
201,1,2.49562
202,0,2.12256
202,1,2.41843
203,0,2.16973
203,1,2.37126
204,0,2.40557
204,1,2.13114
205,0,2.8601
205,1,1.3936
206,0,3.07878
206,1,1.7495
207,0,2.68429
207,1,1.8567
208,0,2.65856
208,1,1.88672
209,0,2.63712
209,1,1.90387
210,0,2.63712
210,1,1.90387
211,0,2.25978
211,1,2.04966
212,0,1.95533
212,1,2.81722
213,0,1.66803
213,1,2.87194
214,0,2.25978
214,1,2.28122
215,0,2.26406
215,1,2.27693
216,0,2.33267
216,1,2.21261
217,0,2.36698
217,1,2.17402
218,0,2.38413
218,1,2.15686
219,0,2.16973
219,1,2.37555
220,0,1.7881
220,1,2.7529
221,0,1.67232
221,1,2.56851
222,0,3.80346
222,1,0.0
223,0,4.02643
223,1,1.55405
224,0,2.69286
224,1,1.85242
225,0,2.63712
225,1,1.90387
226,0,2.68
226,1,1.86099
227,0,2.44845
227,1,2.09254
228,0,2.16544
228,1,2.37555
229,0,2.16115
229,1,2.37984
230,0,2.09683
230,1,2.44845
231,0,2.2855
231,1,2.2512
232,0,2.76576
232,1,1.77523
233,0,2.76147
233,1,1.78381
234,0,2.83866
234,1,1.70234
235,0,2.61568
235,1,1.92102
236,0,2.3241
236,1,2.22118
237,0,2.31552
237,1,2.22547
238,0,2.22118
238,1,2.31981
239,0,2.38842
239,1,2.15258
240,0,2.84294
240,1,1.70234
241,0,2.83866
241,1,1.70234
242,0,2.88582
242,1,1.65517
243,0,2.61139
243,1,1.9296
244,0,2.34554
244,1,2.19546
245,0,2.33267
245,1,2.20832
246,0,2.23405
246,1,2.31123
247,0,2.71859
247,1,0.784704
248,0,4.50669
248,1,1.07194
249,0,3.30605
249,1,1.23923
250,0,2.98874
250,1,1.55226
251,0,2.77005
251,1,1.76666
252,0,2.52992
252,1,2.01536
253,0,2.50419
253,1,2.0368
254,0,2.50419
254,1,2.0368
255,0,2.46989
255,1,2.07539
256,0,2.14829
256,1,2.38413
257,0,2.40557
257,1,2.13542
258,0,2.43558
258,1,2.1097
259,0,2.50419
259,1,2.0368
260,0,2.51706
260,1,2.02394
261,0,2.51706
261,1,2.02822
262,0,2.51706
262,1,2.02394
263,0,2.3241
263,1,2.07539
264,0,0.0
264,1,3.64051
265,0,1.49818
265,1,4.0007
266,0,1.77952
266,1,2.84467
267,0,1.98106
267,1,2.55994
268,0,2.00678
268,1,2.5385
269,0,2.07539
269,1,2.4656
270,0,2.15258
270,1,2.38842
271,0,2.19974
271,1,2.27264
272,0,2.73146
272,1,1.87814
273,0,3.13453
273,1,1.40218
274,0,2.67142
274,1,1.87386
275,0,2.68858
275,1,1.85242
276,0,2.66285
276,1,1.87814
277,0,2.65427
277,1,1.89101
278,0,2.63283
278,1,1.90816
279,0,2.19546
279,1,2.34125
280,0,1.54797
280,1,2.82579
281,0,3.22458
281,1,0.45024
282,0,4.27085
282,1,1.31059
283,0,2.53421
283,1,2.00678
284,0,2.48704
284,1,2.05395
285,0,2.53421
285,1,2.00678
286,0,2.5728
286,1,1.97248
287,0,2.22547
287,1,2.31123
288,0,2.01536
288,1,2.52563
289,0,1.94675
289,1,2.59853
290,0,1.95104
290,1,1.77952
291,0,4.30086
291,1,1.0505
292,0,3.65766
292,1,0.887616
293,0,2.81722
293,1,1.72378
294,0,2.80864
294,1,1.73235
295,0,2.55136
295,1,1.98963
296,0,2.34125
296,1,2.19974
297,0,2.34125
297,1,2.19974
298,0,2.33267
298,1,2.21261
299,0,2.25549
299,1,2.11398
300,0,2.72288
300,1,1.98963
301,0,2.90726
301,1,1.63802
302,0,2.95443
302,1,1.58656
303,0,2.7529
303,1,1.78381
304,0,2.47846
304,1,2.06682
305,0,2.45702
305,1,2.08397
306,0,2.41843
306,1,2.12256
307,0,2.28979
307,1,1.88672
308,0,2.83008
308,1,2.07539
309,0,2.92013
309,1,1.62086
310,0,2.9673
310,1,1.57798
311,0,2.75718
311,1,1.77952
312,0,2.45702
312,1,2.08397
313,0,2.4313
313,1,2.1097
314,0,2.40128
314,1,2.144
315,0,2.28979
315,1,1.99392
316,0,2.87296
316,1,1.92102
317,0,2.92013
317,1,1.62515
318,0,2.9673
318,1,1.5737
319,0,0.660352
319,1,2.69715
320,0,1.77939
320,1,3.73056
321,0,2.23405
321,1,2.31123
322,0,2.22118
322,1,2.31981
323,0,2.08397
323,1,2.0368
324,0,2.53421
324,1,2.4313
325,0,2.72288
325,1,1.81811
326,0,2.73146
326,1,1.80954
327,0,2.79578
327,1,1.74522
328,0,2.4656
328,1,2.07539
329,0,2.25549
329,1,2.2855
330,0,2.22976
330,1,2.31123
331,0,2.11827
331,1,2.19546
332,0,2.53421
332,1,2.23405
333,0,2.77434
333,1,1.76666
334,0,2.79149
334,1,1.75379
335,0,2.68429
335,1,1.68518
336,0,2.6457
336,1,2.06253
337,0,2.30266
337,1,2.24262
338,0,2.28979
338,1,2.2512
339,0,2.16115
339,1,2.37984
340,0,3.08307
340,1,0.420224
341,0,4.47238
341,1,1.11066
342,0,3.0745
342,1,1.4665
343,0,2.97158
343,1,1.5737
344,0,2.67142
344,1,1.86528
345,0,2.52563
345,1,2.01536
346,0,2.4999
346,1,2.04109
347,0,2.4999
347,1,2.04538
348,0,2.44416
348,1,2.09683
349,0,2.25978
349,1,1.23494
350,0,4.5367
350,1,1.05101
351,0,3.25888
351,1,1.28211
352,0,2.72288
352,1,1.81811
353,0,2.77434
353,1,1.77094
354,0,2.77005
354,1,1.77094
355,0,2.75718
355,1,1.78381
356,0,2.74861
356,1,1.79667
357,0,2.49133
357,1,2.04966
358,0,1.95962
358,1,2.58138
359,0,1.90387
359,1,2.63283
360,0,2.55565
360,1,1.98963
361,0,2.55136
361,1,1.98963
362,0,2.58566
362,1,1.95533
363,0,2.62426
363,1,1.92102
364,0,2.35411
364,1,1.93389
365,0,2.37126
365,1,2.41843
366,0,1.98963
366,1,2.55565
367,0,1.8224
367,1,2.3241
368,0,2.3584
368,1,2.5728
369,0,2.56851
369,1,1.97677
370,0,2.59853
370,1,1.94246
371,0,2.6457
371,1,1.8953
372,0,2.42272
372,1,1.89958
373,0,2.36269
373,1,2.39699
374,0,2.1097
374,1,2.4313
375,0,1.97677
375,1,2.56851
376,0,2.26835
376,1,2.26835
377,0,2.70144
377,1,1.83955
378,0,2.69286
378,1,1.85242
379,0,2.74003
379,1,1.80096
380,0,2.69286
380,1,1.84384
381,0,2.20832
381,1,2.33696
382,0,2.2169
382,1,2.3241
383,0,2.10112
383,1,2.43987
384,0,2.2855
384,1,2.25549
385,0,2.76576
385,1,1.77523
386,0,2.75718
386,1,1.78381
387,0,2.80864
387,1,1.73664
388,0,2.71859
388,1,1.81811
389,0,2.28122
389,1,2.25978
390,0,2.28122
390,1,2.25978
391,0,2.18688
391,1,2.3584
392,0,2.23834
392,1,2.30266
393,0,2.81293
393,1,1.72806
394,0,2.80006
394,1,1.74522
395,0,2.84294
395,1,1.69805
396,0,2.71859
396,1,1.81811
397,0,2.29837
397,1,2.24691
398,0,2.29837
398,1,2.24262
399,0,2.20832
399,1,2.33267
400,0,2.25549
400,1,1.24781
401,0,4.5367
401,1,1.04736
402,0,3.55904
402,1,0.981952
403,0,2.95872
403,1,1.58227
404,0,2.88154
404,1,1.65946
405,0,2.4999
405,1,2.04109
406,0,2.49562
406,1,2.04538
407,0,2.49562
407,1,2.04966
408,0,2.48275
408,1,2.05824
409,0,2.24262
409,1,1.95962
410,0,1.88243
410,1,3.0016
411,0,1.8567
411,1,2.68429
412,0,1.86099
412,1,2.68
413,0,1.9296
413,1,2.61568
414,0,2.00678
414,1,2.53421
415,0,2.12256
415,1,2.01107
416,0,2.78291
416,1,2.16544
417,0,2.81722
417,1,1.52224
418,0,2.85581
418,1,1.88243
419,0,2.58566
419,1,1.95533
420,0,2.54707
420,1,1.99821
421,0,2.54707
421,1,1.99392
422,0,2.51277
422,1,2.02822
423,0,2.11827
423,1,2.42272
424,0,1.86957
424,1,2.67142
425,0,1.8224
425,1,2.71859
426,0,1.86957
426,1,2.67571
427,0,1.94246
427,1,2.59853
428,0,2.02394
428,1,2.51706
429,0,2.15686
429,1,2.38413
430,0,2.9287
430,1,1.61229
431,0,2.81722
431,1,1.52653
432,0,2.80864
432,1,1.9296
433,0,2.58566
433,1,1.95533
434,0,2.56422
434,1,1.97677
435,0,2.55994
435,1,1.98534
436,0,2.3584
436,1,2.06253
437,0,1.7152
437,1,2.94157
438,0,1.08486
438,1,2.95014
439,0,1.61229
439,1,3.43238
440,0,1.83098
440,1,2.7143
441,0,1.90387
441,1,2.63712
442,0,1.99821
442,1,2.54278
443,0,2.06682
443,1,2.47846
444,0,1.96819
444,1,1.94246
445,0,2.60282
445,1,2.56422
446,0,2.46131
446,1,2.08397
447,0,2.51277
447,1,2.02822
448,0,2.52563
448,1,2.01536
449,0,2.52563
449,1,2.01965
450,0,2.52992
450,1,2.01107
451,0,2.50848
451,1,2.03251
452,0,2.0025
452,1,2.54278
453,0,1.52653
453,1,2.7143
454,0,2.14829
454,1,2.68934
455,0,2.23405
455,1,2.30694
456,0,2.30694
456,1,2.23834
457,0,2.36698
457,1,2.17402
458,0,2.38413
458,1,2.15686
459,0,1.68947
459,1,2.16973
460,0,1.04883
460,1,4.17651
461,0,1.12346
461,1,3.42182
462,0,1.68518
462,1,2.84845
463,0,2.23834
463,1,2.30694
464,0,2.24691
464,1,2.29408
465,0,2.31123
465,1,2.22976
466,0,2.37126
466,1,2.17402
467,0,2.37126
467,1,2.16973
468,0,2.14829
468,1,2.38842
469,0,1.75808
469,1,2.7872
470,0,1.64659
470,1,2.42272
471,0,3.9664
471,1,1.04806
472,0,3.92781
472,1,0.613184
473,0,2.66285
473,1,1.88243
474,0,2.63283
474,1,1.90816
475,0,2.67142
475,1,1.86957
476,0,2.38413
476,1,2.15686
477,0,2.16544
477,1,2.37555
478,0,2.16544
478,1,2.37555
479,0,2.09683
479,1,2.44845
480,0,2.33696
480,1,2.19974
481,0,2.77434
481,1,1.76666
482,0,2.76576
482,1,1.77523
483,0,2.85152
483,1,1.69376
484,0,2.55136
484,1,1.98534
485,0,2.33267
485,1,2.20832
486,0,2.3241
486,1,2.22118
487,0,2.22547
487,1,2.31552
488,0,2.43987
488,1,2.10112
489,0,2.87725
489,1,1.66803
490,0,2.86438
