Time,Throughput
1,0.0
2,10.403614
3,10.408323999999999
4,10.40874
5,10.403614
6,10.408323999999999
7,10.408323999999999
8,10.40403
9,10.408323999999999
10,10.403614
11,10.340456
12,10.415228
13,10.41344
14,10.41344
15,10.398082
16,10.409562000000001
17,10.439584
18,10.417734
19,10.394204
20,10.535128
21,10.403614
22,10.403614
23,10.413024
24,10.403624
25,10.447772
26,10.409156
27,10.407907999999999
28,10.446494000000001
29,10.472961999999999
30,10.408324
31,10.40874
32,10.40873
33,10.450683999999999
34,10.40404
35,10.40403
36,10.417308
37,10.52176
38,10.38992
39,10.40873
40,10.408314
41,10.474086
42,10.408323999999999
43,10.40403
44,10.412607999999999
45,10.424002000000002
46,10.47796
47,10.403614000000001
48,10.40874
49,10.408324
50,10.44307
51,10.450524
52,10.408314
53,10.398914
54,10.484422
55,10.408314
56,10.39933
57,10.413024
58,10.398082
59,10.442753999999999
60,10.507998
61,10.412192
62,10.41814
63,10.39463
64,10.417724
65,10.422718
66,10.440998
67,10.404446
68,10.398082
69,10.515904
70,10.40403
71,10.413024
72,10.408740000000002
73,10.407492
74,10.46624
75,10.413024
76,10.403614000000001
77,10.481088
78,10.445765999999999
79,10.407898
80,10.40404
81,10.40874
82,10.476194000000001
83,10.398914
84,10.408324
85,10.408324
86,10.51581
87,10.40403
88,10.417724
89,10.40874
90,10.431996
91,10.442426
92,10.408314
93,10.403614000000001
94,10.434398
95,10.49773
96,10.40403
97,10.40874
98,10.398498
99,10.482758
100,10.398914
101,10.408314
102,10.39462
103,10.491874
104,10.398498
105,10.413024
106,10.40403
107,10.413856
108,10.515074
109,10.403614000000001
110,10.40403
111,10.413024
112,10.475012
113,10.413024
114,10.399329999999999
115,10.412608
116,10.444253999999999
117,10.403198
118,10.532476
119,10.40873
120,10.403614
121,10.409146000000002
122,10.403614
123,10.45632
124,10.41344
125,10.398914
126,10.492926
127,10.433082
128,10.403198
129,10.399329999999999
130,10.417724
131,10.456062000000001
132,10.395878
133,10.40874
134,10.403614
135,10.538552
136,10.389503999999999
137,10.40874
138,10.40874
139,10.435166
140,10.41178
141,10.417734
142,10.40403
143,10.476218
144,10.45305
145,10.40873
146,10.398904
147,10.413024
148,10.439096000000001
149,10.412607999999999
150,10.40403
151,10.412608
152,10.47418
153,10.417308
154,10.38992
155,10.413024
156,10.404446
157,10.518946000000001
158,10.417318
159,10.413024
160,10.39933
161,10.482403999999999
162,10.408324
163,10.40874
164,10.398914000000001
165,10.454464
166,10.403198
167,10.529698
168,10.407898
169,10.39462
170,10.413024
171,10.408313999999999
172,10.434084
173,10.413024
174,10.404029999999999
175,10.491710000000001
176,10.421348
177,10.418556
178,10.408324
179,10.40403
180,10.448443999999999
181,10.408313999999999
182,10.40874
183,10.403614000000001
184,10.524898
185,10.398488
186,10.41344
187,10.398914
188,10.478276
189,10.407810000000001
190,10.403614000000001
191,10.408324
192,10.481508000000002
193,10.433983999999999
194,10.413024
195,10.40874
196,10.407492
197,10.473244000000001
198,10.40873
199,10.403614
200,10.398498
201,10.536100000000001
202,10.412608
203,10.409156
204,10.403198
205,10.408324
206,10.40874
207,10.403198
208,10.453726
209,10.403208000000001
210,10.469118
211,10.433508
212,10.409156
213,10.41344
214,10.389088000000001
215,10.458746
216,10.394204
217,10.414272
218,10.412608
219,10.525312
220,10.38992
221,10.417724
222,10.40873
223,10.43427
224,10.42516
225,10.40874
226,10.398914
227,10.527104
228,10.396540000000002
229,10.408314
230,10.39933
231,10.412192000000001
232,10.478912
233,10.39932
234,10.408313999999999
235,10.394214
236,10.530332
237,10.41344
238,10.398904
239,10.39933
240,10.449472
241,10.40874
242,10.408324
243,10.417724000000002
244,10.437122
245,10.407482
246,10.524864
247,10.40874
248,10.40403
249,10.408314
250,10.41814
251,10.45504
